Trade ID,Date,Day,Entry Time,Exit Time,Ticker Symbol,Long/Short,Entry Price,Exit Price,Number of Shares/Contracts,Stop-Loss Price,Take-Profit Price,Commission Paid,Trade Duration (minutes),Profit/Loss,Trade Outcome,Strategy Used,Notes
1462,01-01-2019,Tuesday,10:21:36,11:26:35,NIFTY,Long,283.67,178.55,770,88.86,396.91,7.46,64.98333333,-105.12,Loss,SMC,Randomly generated trade
4392,02-01-2019,Wednesday,14:32:58,15:03:46,NIFTY,Short,126.16,173.05,448,141.11,318.01,7.96,30.8,-46.89,Loss,ALGO,Randomly generated trade
9829,03-01-2019,Thursday,11:42:14,15:00:01,BANKNIFTY,Short,134.73,292.94,423,134.38,385.63,6.91,197.7833333,-158.21,Loss,ALGO,Randomly generated trade
5934,04-01-2019,Friday,14:37:36,15:00:43,BANKNIFTY,Short,193.72,174.84,387,104.8,352.54,1.32,23.11666667,18.88,Win,BREAKOUT,Randomly generated trade
3587,07-01-2019,Monday,15:08:15,15:09:28,NIFTY,Short,239.65,272.62,629,130.47,353.98,6.83,1.216666667,-32.97,Loss,SMC,Randomly generated trade
7649,08-01-2019,Tuesday,14:39:59,14:55:24,NIFTY,Long,133.22,215.84,856,117.9,304.79,1.35,15.41666667,82.62,Win,BREAKOUT,Randomly generated trade
4322,09-01-2019,Wednesday,12:55:23,13:48:38,NIFTY,Short,186.54,293.04,982,126.92,318.32,6.48,53.25,-106.5,Loss,SMC,Randomly generated trade
6198,10-01-2019,Thursday,09:58:58,11:44:09,NIFTY,Short,277.22,179.4,522,122.1,388.88,8.55,105.1833333,97.82,Win,SMC,Randomly generated trade
3940,11-01-2019,Friday,13:44:12,13:56:54,NIFTY,Short,186.56,214.23,39,99.21,351.42,3.84,12.7,-27.67,Loss,ALGO,Randomly generated trade
2580,14-01-2019,Monday,14:22:56,14:23:45,BANKNIFTY,Short,248.99,264.62,32,96.62,356.29,8.11,0.816666667,-15.63,Loss,ALGO,Randomly generated trade
7965,15-01-2019,Tuesday,11:33:45,13:56:13,BANKNIFTY,Long,272.95,259.22,680,110.92,346.95,3.84,142.4666667,-13.73,Loss,SMC,Randomly generated trade
9413,16-01-2019,Wednesday,15:07:31,15:08:10,NIFTY,Short,250.1,153.72,312,133.96,357.11,2,0.65,96.38,Win,ALGO,Randomly generated trade
1040,17-01-2019,Thursday,10:21:07,12:20:59,NIFTY,Long,221.11,258.13,909,117.59,334.99,8.27,119.8666667,37.02,Win,ALGO,Randomly generated trade
3614,18-01-2019,Friday,12:18:43,15:03:36,NIFTY,Long,151.56,206.59,575,131.14,315.48,2.49,164.8833333,55.03,Win,SMC,Randomly generated trade
9830,21-01-2019,Monday,12:16:20,14:34:25,BANKNIFTY,Short,277.8,218.47,231,105.53,303.86,4.61,138.0833333,59.33,Win,BREAKOUT,Randomly generated trade
2261,22-01-2019,Tuesday,11:03:00,12:14:48,BANKNIFTY,Long,283.28,142.64,416,111.87,311.15,5.65,71.8,-140.64,Loss,SMC,Randomly generated trade
1706,23-01-2019,Wednesday,14:39:41,14:45:46,BANKNIFTY,Short,213.76,252.92,205,143.01,357.65,5.15,6.083333333,-39.16,Loss,SMC,Randomly generated trade
1742,24-01-2019,Thursday,10:26:51,13:55:55,BANKNIFTY,Short,250.96,109.63,2,100.09,390.49,5.97,209.0666667,141.33,Win,ALGO,Randomly generated trade
2515,25-01-2019,Friday,10:33:03,14:25:17,BANKNIFTY,Short,203.18,213.02,559,134,388.72,1.01,232.2333333,-9.84,Loss,BREAKOUT,Randomly generated trade
6683,28-01-2019,Monday,09:55:41,11:08:41,BANKNIFTY,Long,128.79,274.48,327,93.31,345.95,3.38,73,145.69,Win,ALGO,Randomly generated trade
